,precision,recall,f1-score,support
cotton crop,0.948905109489051,0.9219858156028369,0.935251798561151,141.0
damp grey soil,0.4845360824742268,0.376,0.42342342342342343,125.0
grey soil,0.8661971830985915,0.9044117647058824,0.8848920863309353,272.0
red soil,0.8912386706948641,0.9609120521172638,0.9247648902821317,307.0
vegetation stubble,0.864406779661017,0.723404255319149,0.7876447876447876,141.0
very damp grey soil,0.8125,0.8637873754152824,0.8373590982286635,301.0
accuracy,0.8391608391608392,0.8391608391608392,0.8391608391608392,0.8391608391608392
macro avg,0.8112973042362918,0.7917502105267357,0.7988893474118487,1287.0
weighted avg,0.8314082302918244,0.8391608391608392,0.8333293736972974,1287.0
